Account Types,Sign
Sales,False
COGS,True
InterestExpenseThirdParty,True
InterestExpenseIntercompany,True
InterestIncomeThirdParty,False
InterestIncomeIntercompany,False
OtherIncomeThirdParty,False
OtherIncomeIntercompany,False
IncomeTaxes,True
NonIncomeTaxes,True
SGA,True
OtherDeductions,True
Depreciation,True
Amortization,True
DividendIncome,False
QBAI,True
M1Adjustments,False
PBT,
ETR,
GrossProfit,
TaxLiability,
[USTaxRate],
EBIT,
TI_EBIT,
ATI,
Section163jLimitation,
InterestExpenseUtilized,
Sec163DisallowedInterestExpense,
TentativeTestedIncome,
TestedIncome,
TestedLoss,
TestedIncome_ETR
